Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
1471,Gaura Barhaj,M,23,Madhya Pradesh,40,Narsimhapur
1472,Gaurella,M.Cl.,27,Maharashtra,12,Gadchiroli
1473,Gauri Bazar,C.T.,28,Andhra Pradesh,6,Rangareddi
1474,Gauribidanur,M,24,Gujarat,14,Bhavnagar
1475,Gauripur,M.Cl.,27,Maharashtra,34,Kolhapur
1476,Gausganj,C.T.,20,Jharkhand,18,Purbi Singhbhum
1477,Gawan,M,28,Andhra Pradesh,7,Mahbubnagar
1478,Gaya,N.P.,2,Himachal Pradesh,7,Una
1479,Gayespur,C.T.,23,Madhya Pradesh,34,Raisen
1480,Geedam,C.T.,19,West Bengal,2,Jalpaiguri 
1481,Georai,C.T.,28,Andhra Pradesh,12,Vizianagaram
1482,Ghagga,T.M.C,29,Karnataka,8,Gadag
1483,Ghanaur,N.P.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
1484,Ghansor,M,8,Rajasthan,1,Ganganagar
1485,Ghantapada,C.T.,28,Andhra Pradesh,12,Vizianagaram
1486,Gharaunda,M,28,Andhra Pradesh,13,Visakhapatnam
1487,Gharghoda,C.T.,16,Tripura,1,West Tripura 
1488,Gharoli,C.T.,8,Rajasthan,27,Dungarpur
1489,Gharonda Neemka Bangar alias Patpar Ganj,T.P.,33,Tamil Nadu,30,Kanniyakumari
1490,Ghatal,M.C.,6,Haryana,8,Sonipat
1491,Ghatampur,N.P.,22,Chhattisgarh,9,Rajnandgaon
1492,Ghatanji,N.A.C.,1,Jammu & Kashmir,3,Srinagar
1493,Ghatkeser,C.T.,24,Gujarat,24,Navsari
1494,Ghatlodiya,T.P,33,Tamil Nadu,4,Vellore
1495,Ghatshila,M,24,Gujarat,1,Kachchh
1496,Ghaziabad,C.T.,16,Tripura,1,West Tripura 
1497,Ghazipur,N.A.C,24,Gujarat,6,Gandhinagar
1498,Gheora,C.T.,27,Maharashtra,34,Kolhapur
1499,Ghiraur,C.T.,27,Maharashtra,10,Bhandara
1500,Ghitorni,M.B.,9,Uttar Pradesh,26,Unnao
1501,Gho Manhasan,T.P.,33,Tamil Nadu,18,Cuddalore
1502,Ghoga,M.Cl.,27,Maharashtra,17,Parbhani
1503,Ghogha,M.Cl.,8,Rajasthan,1,Ganganagar
1504,Ghoghardiha,M.Cl.,27,Maharashtra,19,Aurangabad
1505,Ghorabandha,M,8,Rajasthan,24,Bhilwara
1506,Ghorawal,N.P.,9,Uttar Pradesh,67,Varanasi
1507,Ghorsala,M,8,Rajasthan,10,Sawai Madhopur
1508,Ghosi,M,19,West Bengal,5,Dakshin Dinajpur
1509,Ghosia Bazar,T.P.,33,Tamil Nadu,8,Salem
1510,Ghoti Budruk,C.M.C,29,Karnataka,7,Koppal
1511,Ghughuli,M.B.,9,Uttar Pradesh,1,Saharanpur
1512,Ghugus,N.P.,5,Uttaranchal,1,Uttarkashi
1513,Ghulewadi,N.T.A,11,Sikkim,4,East
1514,Ghumarwin,T.P.,33,Tamil Nadu,25,Theni
1515,Ghuwara,M.B.,9,Uttar Pradesh,17,Etah
1516,Gidderbaha,N.P.,9,Uttar Pradesh,26,Unnao
1517,Gidi,N.A.C.,21,Orissa,19,Ganjam
1518,Gingee,C.T.,35,Andaman & Nicobar Islands *,1,Andamans
1519,Giridih,C.T.,19,West Bengal,12,Hugli 
1520,Goa Velha,N.P.,9,Uttar Pradesh,36,Jhansi
1521,Goaljan,M.Cl.,3,Punjab,5,Hoshiarpur
1522,Goalpara,M,23,Madhya Pradesh,11,Sagar
1523,Goasafat,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
1524,Gobardanga,N.P.,23,Madhya Pradesh,9,Chhatarpur
1525,Gobichettipalayam,M.B.,9,Uttar Pradesh,9,Ghaziabad
1526,Gobindgarh,M.Cl.,3,Punjab,5,Hoshiarpur
1527,Gobindpur,M,20,Jharkhand,1,Garhwa
1528,Gobranawapara,M,24,Gujarat,14,Bhavnagar
1529,Gochar,N.P.,23,Madhya Pradesh,19,Mandsaur
1530,Godda,C.T.,19,West Bengal,11,North Twentyfour Parganas
1531,Godhar,M,19,West Bengal,11,North Twentyfour Parganas
1532,Godhra,M.B.,9,Uttar Pradesh,60,Deoria
1533,Godoli,N.P.,22,Chhattisgarh,7,Bilaspur
1534,Gogaon,N.P.,9,Uttar Pradesh,60,Deoria
1535,Gogapur,T.M.C,29,Karnataka,19,Kolar
1536,Gogri Jamalpur,T.C.,18,Assam,2,Dhubri
1537,Gohad,C.T.,9,Uttar Pradesh,33,Kanpur Dehat
1538,Gohana,N.P.,9,Uttar Pradesh,19,Budaun
1539,Gohand,M.Corp.,10,Bihar,35,Gaya
1540,Gohpur,M,19,West Bengal,10,Nadia 
1541,Gokak,C.T.,22,Chhattisgarh,16,Dantewada
1542,Gokak Falls,M.Cl.,27,Maharashtra,27,Bid
1543,Gokal Pur,N.P.,3,Punjab,17,Patiala
1544,Gokhivare,N.P.,3,Punjab,17,Patiala
1545,Gokul,C.T.,23,Madhya Pradesh,44,Seoni
1546,Gola Bazar,C.T.,21,Orissa,15,Anugul
1547,Gola Gokarannath,M.C.,6,Haryana,6,Karnal
1548,Golaghat,N.P.,22,Chhattisgarh,4,Raigarh
1549,Golokganj,C.T.,7,Delhi *,4,East
1550,Gomoh,C.T.,7,Delhi *,4,East
1551,Gonda,M,19,West Bengal,15,Medinipur 
1552,Gondal,M.B.,9,Uttar Pradesh,34,Kanpur Nagar
1553,Gondiya,M.Cl.,27,Maharashtra,14,Yavatmal
1554,Goniana,C.T.,28,Andhra Pradesh,6,Rangareddi
1555,Gonikoppal,M,24,Gujarat,7,Ahmadabad
1556,Gooty,C.T.,20,Jharkhand,18,Purbi Singhbhum
1557,Gopalasamudram,M.Corp.,9,Uttar Pradesh,9,Ghaziabad
1558,Gopalganj,M.B.,9,Uttar Pradesh,65,Ghazipur
1559,Gopalpur,C.T.,7,Delhi *,1,North West
1560,Gopamau,N.P.,9,Uttar Pradesh,18,Mainpuri
1561,Gopiganj,C.T.,7,Delhi *,8,South West
1562,Gopinathpur,N.A.C.,1,Jammu & Kashmir,13,Jammu
1563,Gora Bazar,C.T.,7,Delhi *,1,North West
1564,Gorah Salathian,C.T.,24,Gujarat,14,Bhavnagar
1565,Gorakhpur,N.A.,10,Bihar,5,Madhubani
1566,Goraya,C.T.,20,Jharkhand,18,Purbi Singhbhum
1567,Goredi Chancha,N.P.,9,Uttar Pradesh,70,Sonbhadra
1568,Goregaon,C.T.,19,West Bengal,7,Murshidabad 
1569,Gormi,N.P.,9,Uttar Pradesh,62,Mau
1570,Gosainganj,N.P.,9,Uttar Pradesh,68,Sant Ravidas Nagar
1571,Gossaigaon,C.T.,27,Maharashtra,20,Nashik
1572,Gota,N.P.,9,Uttar Pradesh,57,Maharajganj
1573,Gothra,C.T.,27,Maharashtra,13,Chandrapur
1574,Gottikere,C.T.,27,Maharashtra,26,Ahmadnagar
1575,Goundampalayam,N.P.,2,Himachal Pradesh,8,Bilaspur
1576,Govardhan,N.P.,23,Madhya Pradesh,9,Chhatarpur
1577,Govindgarh,M.Cl.,3,Punjab,12,Muktsar
1578,Greater Mumbai,C.T.,20,Jharkhand,4,Hazaribag
1579,GSFC Complex INA,T.P.,33,Tamil Nadu,7,Viluppuram
1580,Gua,M,20,Jharkhand,6,Giridih
1581,Gubbi,C.T.,30,Goa,1,North Goa 
1582,Gudalur,C.T.,19,West Bengal,7,Murshidabad 
1583,Gudari,M.B.,18,Assam,3,Goalpara
1584,Gudibanda,C.T.,19,West Bengal,15,Medinipur 
1585,Gudivada,M,19,West Bengal,11,North Twentyfour Parganas
1586,Gudiyatham,M,33,Tamil Nadu,10,Erode
1587,Gudur,M.Cl.,3,Punjab,8,Fatehgarh Sahib
1588,Guhagar,C.T.,20,Jharkhand,12,Dhanbad
1589,Guirim,M,22,Chhattisgarh,11,Raipur
1590,Gulabpura,N.P.,5,Uttaranchal,2,Chamoli
1591,Gulaothi,M,20,Jharkhand,8,Godda
1592,Gularia Bhindara,C.T.,20,Jharkhand,12,Dhanbad
1593,Gulariya,M,24,Gujarat,17,Panch Mahals
1594,Gulbarga,C.T.,27,Maharashtra,31,Satara
1595,Guledgudda,C.T.,22,Chhattisgarh,11,Raipur
1596,Gulmarg,C.T.,23,Madhya Pradesh,21,Ujjain
1597,Guma,N.A.,10,Bihar,21,Khagaria
1598,Gumia,M,23,Madhya Pradesh,3,Bhind
1599,Gumla,M.C.,6,Haryana,8,Sonipat
1600,Gummidipoondi,N.P.,9,Uttar Pradesh,38,Hamirpur
1601,Guna,T.C.,18,Assam,11,Sonitpur
1602,Gundlupet,C.M.C,29,Karnataka,1,Belgaum
1603,Gunnaur,N.A.C,29,Karnataka,1,Belgaum
1604,Guntakal,C.T.,7,Delhi *,3,North East
1605,Guntur,C.T.,27,Maharashtra,21,Thane
1606,Gunupur,N.P.,9,Uttar Pradesh,14,Mathura
1607,Gurdaspur,N.P.,9,Uttar Pradesh,58,Gorakhpur
1608,Gurgaon,M.B.,9,Uttar Pradesh,23,Kheri
1609,Gurgaon Rural,M.B.,18,Assam,18,Golaghat
1610,Gurh,C.T.,18,Assam,2,Dhubri
1611,Guriahati,C.T.,20,Jharkhand,12,Dhanbad
1612,Gurmatkal,M.B.,9,Uttar Pradesh,53,Gonda
1613,Gursahaiganj,M,24,Gujarat,9,Rajkot
1614,Gursarai,M.Cl.,27,Maharashtra,11,Gondiya
1615,Guru Har Sahai,M.Cl.,3,Punjab,14,Bathinda
1616,Guruvayoor,C.T.,29,Karnataka,25,Kodagu
1617,Guskara,C.T.,28,Andhra Pradesh,22,Anantapur
1618,Guwahati,T.P.,33,Tamil Nadu,29,Tirunelveli
1619,Gwalior,M,10,Bihar,15,Gopalganj
1620,Gyalshing,C.T.,19,West Bengal,10,Nadia 
1621,Gyanpur,N.A.C.,21,Orissa,19,Ganjam
1622,Habibpur,N.P.,9,Uttar Pradesh,25,Hardoi
1623,Habra,M.B.,9,Uttar Pradesh,68,Sant Ravidas Nagar
1624,Hadgaon,C.T.,19,West Bengal,9,Barddhaman 
1625,Hafizpur,C.T.,19,West Bengal,7,Murshidabad 
1626,Haflong,N.A.C.,1,Jammu & Kashmir,13,Jammu
1627,Haidergarh,M.Corp.,9,Uttar Pradesh,58,Gorakhpur
1628,Hailakandi,N.P.,3,Punjab,4,Jalandhar
1629,Haileymandi,C.T.,8,Rajasthan,14,Nagaur
1630,Hajan,C.T.,27,Maharashtra,24,Raigarh
1631,Hajipur,N.P.,23,Madhya Pradesh,3,Bhind
1632,Hajira INA,N.P.,9,Uttar Pradesh,27,Lucknow
1633,Haldaur,N.P.,9,Uttar Pradesh,47,Faizabad
1634,Haldia,T.C.,18,Assam,1,Kokrajhar
1635,Haldibari,C.T.,24,Gujarat,7,Ahmadabad
1636,Haldwani-cum-Kathgodam,C.T.,8,Rajasthan,5,Jhunjhunun
1637,Halisahar,C.,29,Karnataka,20,Bangalore
1638,Haliyal,T.P.,33,Tamil Nadu,12,Coimbatore
