Sl. No.,Name,Urban Status,State Code,State/                                               Union territory*,District Code,District
1,1 SGM,C.T.,8,Rajasthan,1,Ganganagar
2,3 STR,C.T.,8,Rajasthan,1,Ganganagar
3,A.Thirumuruganpoondi,T.P.,33,Tamil Nadu,12,Coimbatore
4,A.Vellalapatti,T.P.,33,Tamil Nadu,24,Madurai
5,Aadityana,C.T.,24,Gujarat,11,Porbandar
6,Aambaliyasan,C.T.,24,Gujarat,4,Mahesana
7,Aantaliya,C.T.,24,Gujarat,24,Navsari
8,Aarambhada,C.T.,24,Gujarat,10,Jamnagar
9,Abhayapuri,T.C.,18,Assam,4,Bongaigaon
10,Abiramam,T.P.,33,Tamil Nadu,27,Ramanathapuram
11,Abohar,M.Cl.,3,Punjab,11,Firozpur
12,Abrama,C.T.,24,Gujarat,25,Valsad
13,Abu Road,M,8,Rajasthan,19,Sirohi
14,Achabal,N.A.C.,1,Jammu & Kashmir,6,Anantnag
15,Achalpur,M.Cl.,27,Maharashtra,7,Amravati
16,Achampudur,T.P.,33,Tamil Nadu,29,Tirunelveli
17,Acharapakkam,T.P.,33,Tamil Nadu,3,Kancheepuram
18,Acharipallam,T.P.,33,Tamil Nadu,30,Kanniyakumari
19,Achhalda,N.P.,9,Uttar Pradesh,32,Auraiya
20,Achhnera,M.B.,9,Uttar Pradesh,15,Agra
21,Achipatti,C.T.,33,Tamil Nadu,12,Coimbatore
22,Adalaj,C.T.,24,Gujarat,6,Gandhinagar
23,Adampur,M.Cl.,3,Punjab,4,Jalandhar
24,Adari,N.P.,9,Uttar Pradesh,62,Mau
25,Adikaratti,T.P.,33,Tamil Nadu,11,The Nilgiris
26,Adilabad,M,28,Andhra Pradesh,1,Adilabad
27,Adiramapattinam,T.P.,33,Tamil Nadu,21,Thanjavur
28,Adityapatna,C.T.,29,Karnataka,18,Tumkur
29,Adityapur,N.A.,20,Jharkhand,17,Pashchimi Singhbhum
30,Adoni,M,28,Andhra Pradesh,21,Kurnool
31,Adoor,M,32,Kerala,12,Pathanamthitta
32,Adra,C.T.,19,West Bengal,14,Puruliya
33,Aduthurai alias Maruthuvakudi,T.P.,33,Tamil Nadu,21,Thanjavur
34,Adyar,C.T.,29,Karnataka,24,Dakshina Kannada
35,Afzalgarh,M.B.,9,Uttar Pradesh,3,Bijnor
36,Afzalpur,T.P.,29,Karnataka,4,Gulbarga
37,Agar,M,23,Madhya Pradesh,22,Shajapur
38,Agaram,T.P.,33,Tamil Nadu,13,Dindigul
39,Agartala,M.Cl.,16,Tripura,1,West Tripura 
40,Agarwal Mandi,N.P.,9,Uttar Pradesh,8,Baghpat
41,Agastheeswaram,T.P.,33,Tamil Nadu,30,Kanniyakumari
42,Agra,M.Corp.,9,Uttar Pradesh,15,Agra
43,Ahiwara,C.B.,9,Uttar Pradesh,15,Agra
44,Ahmadnagar,N.P.,22,Chhattisgarh,10,Durg
45,Ahmadpur,M.Cl.,27,Maharashtra,26,Ahmadnagar
46,Ahmedabad,C.B.,27,Maharashtra,26,Ahmadnagar
47,Ahmedabad Cantonment,C.T.,19,West Bengal,8,Birbhum
48,Ahmedgarh,M.Cl.,27,Maharashtra,28,Latur
49,Ahraura,M.Corp.,24,Gujarat,7,Ahmadabad
50,Aiho,C.B.,24,Gujarat,7,Ahmadabad
51,Ailum,M.Cl.,3,Punjab,16,Sangrur
52,Air Force Area,M.B.,9,Uttar Pradesh,69,Mirzapur
53,Aistala,C.T.,19,West Bengal,6,Maldah 
54,Aizawl,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
55,Ajaigarh,C.T.,9,Uttar Pradesh,58,Gorakhpur
56,Ajhuwa,C.T.,19,West Bengal,10,Nadia 
57,Ajmer,N.T.,15,Mizoram,3,Aizawl
58,Ajnala,N.P.,23,Madhya Pradesh,10,Panna
59,Ajra,N.P.,9,Uttar Pradesh,44,Kaushambi
60,Akalgarh,M.Cl.,8,Rajasthan,21,Ajmer
61,Akaltara,N.P.,3,Punjab,2,Amritsar
62,Akathiyoor,C.T.,27,Maharashtra,34,Kolhapur
63,Akbarpur,C.T.,3,Punjab,9,Ludhiana
64,Akhnoor,N.P.,22,Chhattisgarh,6,Janjgir-Champa
65,Akkalkot,C.T.,32,Kerala,7,Thrissur
66,Akkarampalle,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
67,Akkayapalle,M.B.,9,Uttar Pradesh,48,Ambedaker Nagar
68,Aklera,N.A.C.,1,Jammu & Kashmir,13,Jammu
69,Akoda,M.Cl.,27,Maharashtra,30,Solapur
70,Akodia,C.T.,28,Andhra Pradesh,23,Chittoor
71,Akola,C.T.,28,Andhra Pradesh,20,Cuddapah
72,Akot,M,8,Rajasthan,32,Jhalawar
73,Alagappapuram,N.P.,23,Madhya Pradesh,3,Bhind
74,Alampalayam,N.P.,23,Madhya Pradesh,22,Shajapur
75,Alampur,M.Cl.,27,Maharashtra,5,Akola
76,Aland,M.Cl.,27,Maharashtra,5,Akola
77,Alandi,T.P.,33,Tamil Nadu,30,Kanniyakumari
78,Alandur,T.P.,33,Tamil Nadu,9,Namakkal
79,Alang,N.P.,23,Madhya Pradesh,3,Bhind
80,Alanganallur,T.M.C,29,Karnataka,4,Gulbarga
81,Alangayam,M.Cl.,27,Maharashtra,25,Pune
82,Alangudi,M,33,Tamil Nadu,3,Kancheepuram
83,Alangulam,C.T.,24,Gujarat,14,Bhavnagar
84,Alanthurai,T.P.,33,Tamil Nadu,24,Madurai
85,Alapakkam,T.P.,33,Tamil Nadu,4,Vellore
86,Alappuzha,T.P.,33,Tamil Nadu,22,Pudukkottai
87,Alawalpur,T.P.,33,Tamil Nadu,26,Virudhunagar
88,Aldona,T.P.,33,Tamil Nadu,29,Tirunelveli
89,Ali Pur,T.P.,33,Tamil Nadu,12,Coimbatore
90,Alibag,C.T.,33,Tamil Nadu,3,Kancheepuram
91,Aliganj,M,32,Kerala,11,Alappuzha
92,Aligarh,M.Cl.,3,Punjab,4,Jalandhar
93,Alipurduar,C.T.,30,Goa,1,North Goa 
94,Alipurduar Rly.Jnc.,C.T.,7,Delhi *,1,North West
95,Alirajpur,M.Cl.,27,Maharashtra,24,Raigarh
96,Allahabad,M.B.,9,Uttar Pradesh,17,Etah
97,Allahganj,M.Corp.,9,Uttar Pradesh,12,Aligarh
98,Allapur,M,19,West Bengal,2,Jalpaiguri 
99,Allapuram,C.T.,19,West Bengal,2,Jalpaiguri 
100,Almora,M,23,Madhya Pradesh,24,Jhabua
101,Alnavar,M.Corp.,9,Uttar Pradesh,45,Allahabad 
102,Along,C.B.,9,Uttar Pradesh,45,Allahabad 
103,Alot,N.P.,9,Uttar Pradesh,22,Shahjahanpur
104,Alpur,N.P.,9,Uttar Pradesh,19,Budaun
105,Alur,T.P,33,Tamil Nadu,4,Vellore
106,Aluva,M.B.,5,Uttaranchal,9,Almora
107,Alwal,C.B.,5,Uttaranchal,9,Almora
108,Alwar,T.P.,29,Karnataka,9,Dharwad
109,Alwarkurichi,C.T.,12,Arunachal Pradesh,7,West Siang
110,Alwarthirunagiri,N.P.,23,Madhya Pradesh,20,Ratlam
111,Amadalavalasa,C.T.,19,West Bengal,16,Haora 
112,Amalapuram,T.P.,29,Karnataka,23,Hassan
113,Amalner,T.P.,33,Tamil Nadu,30,Kanniyakumari
114,Amanganj,M,32,Kerala,8,Ernakulam
115,Amanpur,M,28,Andhra Pradesh,6,Rangareddi
116,Amarkantak,M.Cl.,8,Rajasthan,6,Alwar
117,Amarpatan,T.P.,33,Tamil Nadu,29,Tirunelveli
118,Amarpur,T.P.,33,Tamil Nadu,28,Toothukudi
119,Amarwara,N.P.,28,Andhra Pradesh,11,Srikakulam
120,Ambad,M,28,Andhra Pradesh,14,East Godavari
121,Ambada,M.Cl.,27,Maharashtra,3,Jalgaon
122,Ambagarh Chowki,N.P.,23,Madhya Pradesh,10,Panna
123,Ambah,N.P.,9,Uttar Pradesh,17,Etah
124,Ambaji,N.P.,23,Madhya Pradesh,16,Shahdol
125,Ambala,N.P.,23,Madhya Pradesh,13,Satna
126,Ambala Cantt.,N.P.,16,Tripura,2,South Tripura 
127,Ambala Sadar,N.A.,10,Bihar,23,Banka
128,Ambarnath,N.P.,23,Madhya Pradesh,43,Chhindwara
129,Ambasamudram,M.Cl.,27,Maharashtra,18,Jalna
130,Ambassa,C.T.,23,Madhya Pradesh,43,Chhindwara
131,Ambattur,N.P.,22,Chhattisgarh,9,Rajnandgaon
132,Ambehta,M,23,Madhya Pradesh,2,Morena
133,Ambejogai,C.T.,24,Gujarat,2,Banas Kantha
134,Ambikanagara,M.Cl.,6,Haryana,2,Ambala
135,Ambikapur,C.B.,6,Haryana,2,Ambala
136,Ambikapur Part-X,M.Cl.,6,Haryana,2,Ambala
137,Ambivali Tarf Wankhal,M.Cl.,27,Maharashtra,21,Thane
138,Ambur,T.P.,33,Tamil Nadu,29,Tirunelveli
139,Amet,C.T.,16,Tripura,3,Dhalai
140,Amethi,M,33,Tamil Nadu,1,Thiruvallur
141,Amguri,N.P.,9,Uttar Pradesh,1,Saharanpur
142,Amila,M.Cl.,27,Maharashtra,27,Bid
143,Amilo,C.T.,29,Karnataka,10,Uttara Kannada
144,Aminagar Sarai,C.T.,22,Chhattisgarh,2,Surguja
145,Aminagar Urf Bhurbaral,C.T.,18,Assam,21,Cachar
146,Amini,C.T.,27,Maharashtra,24,Raigarh
147,Amkula,M,33,Tamil Nadu,4,Vellore
148,Amla,M,8,Rajasthan,25,Rajsamand
149,Amlabad,N.P.,9,Uttar Pradesh,27,Lucknow
150,Amlai,N.P.,9,Uttar Pradesh,49,Sultanpur
151,Amli,T.C.,18,Assam,16,Sibsagar
152,Amloh,N.P.,9,Uttar Pradesh,62,Mau
153,Ammainaickanur,C.T.,9,Uttar Pradesh,61,Azamgarh
154,Ammapettai,N.P.,9,Uttar Pradesh,8,Baghpat
155,Ammavarikuppam,C.T.,9,Uttar Pradesh,7,Meerut
156,Ammoor,C.T.,31,Lakshadweep *,1,Lakshadweep
157,Amodghata,C.T.,19,West Bengal,9,Barddhaman 
158,Amraudha,M,23,Madhya Pradesh,35,Betul
159,Amravati,C.T.,20,Jharkhand,13,Bokaro
160,Amreli,C.T.,23,Madhya Pradesh,16,Shahdol
161,Amritsar,C.T.,26,Dadra & Nagar Haveli *,1,Dadra & Nagar Haveli
162,Amritsar Cantt.,M.Cl.,3,Punjab,8,Fatehgarh Sahib
163,Amroha,T.P.,33,Tamil Nadu,13,Dindigul
164,Amtala,T.P.,33,Tamil Nadu,10,Erode
165,Anaimalai,T.P.,33,Tamil Nadu,21,Thanjavur
166,Anaiyur,C.T.,33,Tamil Nadu,1,Thiruvallur
167,Anakapalle,T.P.,33,Tamil Nadu,4,Vellore
168,Anakaputhur,C.T.,19,West Bengal,12,Hugli 
169,Anand,N.P.,9,Uttar Pradesh,33,Kanpur Dehat
170,Anand Nagar,M.Corp.,27,Maharashtra,7,Amravati
171,Anandapur,M,24,Gujarat,13,Amreli
172,Anandnagar,M.Corp.,3,Punjab,2,Amritsar
173,Anandpur Sahib,C.B.,3,Punjab,2,Amritsar
174,Anantapur,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
175,Ananthapuram,C.T.,19,West Bengal,18,South Twentyfour Parganas
176,Anantnag,T.P.,33,Tamil Nadu,12,Coimbatore
177,Ancharakandy,T.P.,33,Tamil Nadu,24,Madurai
178,Andada,T.P.,33,Tamil Nadu,26,Virudhunagar
179,Andipalayam,M,28,Andhra Pradesh,13,Visakhapatnam
180,Andipatti Jakkampatti,T.P,33,Tamil Nadu,3,Kancheepuram
181,Andro,M,24,Gujarat,15,Anand
182,Andul,C.T.,18,Assam,2,Dhubri
183,Anekal,N.A.C.,21,Orissa,6,Kendujhar
184,Angamaly,N.P.,9,Uttar Pradesh,57,Maharajganj
185,Angarpathar,M.Cl.,3,Punjab,7,Rupnagar
186,Anjad,M,28,Andhra Pradesh,22,Anantapur
187,Anjangaon,T.P.,33,Tamil Nadu,7,Viluppuram
188,Anjar,T.C.,1,Jammu & Kashmir,6,Anantnag
189,Anjugramam,C.T.,32,Kerala,2,Kannur
190,Anklav,C.T.,24,Gujarat,21,Bharuch
191,Anklesvar,C.T.,33,Tamil Nadu,12,Coimbatore
192,Anklesvar INA,T.P.,33,Tamil Nadu,25,Theni
193,Ankola,N.P.,14,Manipur,7,Imphal East
194,Anksa,C.T.,19,West Bengal,16,Haora 
195,Ankurhati,T.M.C,29,Karnataka,20,Bangalore
196,Annamalai Nagar,M,32,Kerala,8,Ernakulam
197,Annavasal,C.T.,20,Jharkhand,12,Dhanbad
198,Annigeri,N.P.,23,Madhya Pradesh,28,Barwani
199,Annur,M.Cl.,27,Maharashtra,7,Amravati
200,Anpara,M,24,Gujarat,1,Kachchh
201,Antah,T.P.,33,Tamil Nadu,30,Kanniyakumari
202,Antari,M,24,Gujarat,15,Anand
203,Anthiyur,M,24,Gujarat,21,Bharuch
204,Antu,I.N.A.,24,Gujarat,21,Bharuch
205,Anugul,T.P.,29,Karnataka,10,Uttara Kannada
206,Anup Nagar,C.T.,19,West Bengal,9,Barddhaman 
207,Anupgarh,C.T.,19,West Bengal,16,Haora 
208,Anuppur,T.P.,33,Tamil Nadu,18,Cuddalore
209,Anupshahr,T.P.,33,Tamil Nadu,22,Pudukkottai
210,Aonla,T.M.C,29,Karnataka,9,Dharwad
211,Appakudal,T.P.,33,Tamil Nadu,12,Coimbatore
212,Aquem,C.T.,9,Uttar Pradesh,70,Sonbhadra
213,Ara,M,8,Rajasthan,31,Baran
214,Arachalur,N.P.,23,Madhya Pradesh,4,Gwalior
215,Arakandanallur,T.P.,33,Tamil Nadu,10,Erode
216,Arakonam,N.P.,9,Uttar Pradesh,43,Pratapgarh
217,Aralvaimozhi,N.A.C.,21,Orissa,15,Anugul
218,Arambag,C.T.,19,West Bengal,7,Murshidabad 
219,Arang,M,8,Rajasthan,1,Ganganagar
220,Arani,N.P.,23,Madhya Pradesh,16,Shahdol
221,Aranthangi,M.B.,9,Uttar Pradesh,11,Bulandshahr 
222,Araria,M.B.,9,Uttar Pradesh,20,Bareilly
223,Arasiramani,T.P.,33,Tamil Nadu,10,Erode
224,Aravakurichi,C.T.,30,Goa,2,South Goa
225,Aravankad,C.T.,20,Jharkhand,4,Hazaribag
226,Arcot,T.P.,33,Tamil Nadu,10,Erode
227,Areraj,T.P.,33,Tamil Nadu,7,Viluppuram
228,Argari,M,33,Tamil Nadu,4,Vellore
229,Arimalam,T.P.,33,Tamil Nadu,30,Kanniyakumari
230,Ariyalur,M,19,West Bengal,12,Hugli 
231,Ariyappampalayam,N.P.,22,Chhattisgarh,11,Raipur
232,Ariyur,T.P,33,Tamil Nadu,1,Thiruvallur
233,Arkalgud,M,33,Tamil Nadu,6,Tiruvanamalai
234,Arki,M,33,Tamil Nadu,22,Pudukkottai
235,Armapur Estate,M,10,Bihar,7,Araria
236,Arnia,T.P.,33,Tamil Nadu,8,Salem
237,Aron,T.P.,33,Tamil Nadu,14,Kapur
238,Arookutty,T.S.,33,Tamil Nadu,11,The Nilgiris
239,Aroor,M,33,Tamil Nadu,4,Vellore
240,Arra,N.A.,10,Bihar,2,Purba Champaran
241,Arrah,C.T.,19,West Bengal,16,Haora 
242,Arsikere,T.P.,33,Tamil Nadu,22,Pudukkottai
243,Arumanai,T.P.,33,Tamil Nadu,17,Ariyalur
244,Arumbavur,T.P.,33,Tamil Nadu,10,Erode
245,Arumuganeri,C.T.,33,Tamil Nadu,4,Vellore
246,Aruppukkottai,T.P.,29,Karnataka,23,Hassan
247,Arvi,N.P.,2,Himachal Pradesh,9,Solan
248,Asan  Khurd,C.T.,9,Uttar Pradesh,34,Kanpur Nagar
249,Asansol,N.A.C.,1,Jammu & Kashmir,13,Jammu
250,Asarganj,N.P.,23,Madhya Pradesh,7,Guna
251,Ashok Nagar,C.T.,32,Kerala,11,Alappuzha
252,Ashokapuram,C.T.,32,Kerala,11,Alappuzha
253,Ashoknagar Kalyangarh,C.T.,19,West Bengal,14,Puruliya
254,Ashrafpur Kichhauchha,M,10,Bihar,29,Bhojpur
255,Ashta,T.M.C,29,Karnataka,23,Hassan
256,Asifabad,T.P.,33,Tamil Nadu,30,Kanniyakumari
257,Asika,T.P.,33,Tamil Nadu,16,Perambalur
258,Asind,T.P.,33,Tamil Nadu,28,Toothukudi
259,Asola,M,33,Tamil Nadu,26,Virudhunagar
260,Assandh,M.Cl.,27,Maharashtra,8,Wardha
261,Atarra,C.T.,6,Haryana,7,Panipat
262,Atasu,M.Corp.,19,West Bengal,9,Barddhaman 
263,Ateli,C.T.,10,Bihar,24,Munger
264,Athagad,M,23,Madhya Pradesh,7,Guna
265,Athani,C.T.,33,Tamil Nadu,12,Coimbatore
266,Athanur,M,19,West Bengal,11,North Twentyfour Parganas
267,Athimarapatti,N.P.,9,Uttar Pradesh,48,Ambedaker Nagar
268,Athipattu,M,23,Madhya Pradesh,33,Sehore
269,Athmallik,M.Cl.,27,Maharashtra,35,Sangli
270,Athni,C.T.,28,Andhra Pradesh,1,Adilabad
271,Athur,N.A.C.,21,Orissa,19,Ganjam
272,Atrauli,M,8,Rajasthan,24,Bhilwara
273,Atraulia,C.T.,7,Delhi *,9,South
274,Attayampatti,M.C.,6,Haryana,6,Karnal
275,Attingal,M.B.,9,Uttar Pradesh,40,Banda
276,Attur,N.P.,9,Uttar Pradesh,32,Auraiya
277,Atul,M.C,6,Haryana,16,Mahendragarh
278,Aurad,N.A.C.,21,Orissa,12,Cuttack
279,Auraiya,T.P.,33,Tamil Nadu,10,Erode
280,Aurangabad,T.P.,33,Tamil Nadu,9,Namakkal
281,Aurangabad Bangar,T.P.,33,Tamil Nadu,28,Toothukudi
282,Auras,C.T.,33,Tamil Nadu,1,Thiruvallur
283,Ausa,N.A.C.,21,Orissa,15,Anugul
284,Avadattur,T.M.C,29,Karnataka,1,Belgaum
285,Avadi,T.P.,33,Tamil Nadu,28,Toothukudi
286,Avalpoondurai,T.P.,33,Tamil Nadu,30,Kanniyakumari
287,Avanashi,M.B.,9,Uttar Pradesh,12,Aligarh
288,Avaniapuram,N.P.,9,Uttar Pradesh,61,Azamgarh
289,Avinissery,T.P.,33,Tamil Nadu,8,Salem
290,Awagarh,M,32,Kerala,14,Thiruvananthapuram
291,Awantipora,M,33,Tamil Nadu,8,Salem
292,Ayakudi,N.M.,24,Gujarat,25,Valsad
293,Aygudi,T.P.,29,Karnataka,5,Bidar
294,Ayodhya,M.B.,9,Uttar Pradesh,32,Auraiya
295,Ayothiapattinam,C.T.,19,West Bengal,7,Murshidabad 
296,Ayyalur,N.P.,9,Uttar Pradesh,11,Bulandshahr 
297,Ayyampalayam,M.Corp.,27,Maharashtra,19,Aurangabad
298,Ayyampettai,C.T.,27,Maharashtra,19,Aurangabad
299,Azamgarh,M,10,Bihar,34,Aurangabad
300,Azhagiapandiapuram,C.T.,9,Uttar Pradesh,14,Mathura
301,Azhikode North,N.P.,9,Uttar Pradesh,26,Unnao
302,Azhikode South,M.Cl.,27,Maharashtra,28,Latur
303,Azizpur,C.T.,33,Tamil Nadu,8,Salem
304,Azmatgarh,M,33,Tamil Nadu,1,Thiruvallur
305,B. Mallapuram,T.P.,33,Tamil Nadu,10,Erode
306,B. Meenakshipuram,T.P.,33,Tamil Nadu,12,Coimbatore
307,Babai,T.P.,33,Tamil Nadu,24,Madurai
308,Babar Pur,C.T.,32,Kerala,7,Thrissur
309,Babarpur Ajitmal,N.P.,9,Uttar Pradesh,17,Etah
310,Baberu,N.A.C.,1,Jammu & Kashmir,5,Pulwama
311,Babhulgaon,T.P.,33,Tamil Nadu,13,Dindigul
312,Babina,T.P.,33,Tamil Nadu,29,Tirunelveli
313,Babiyal,M.B.,9,Uttar Pradesh,47,Faizabad
314,Bablari Dewanganj,T.P.,33,Tamil Nadu,8,Salem
315,Babrala,T.P.,33,Tamil Nadu,13,Dindigul
316,Babua Kalan,T.P.,33,Tamil Nadu,13,Dindigul
317,Babugarh,C.T.,33,Tamil Nadu,3,Kancheepuram
318,Bachhraon,T.P.,33,Tamil Nadu,21,Thanjavur
319,Bachhrawan,M.B.,9,Uttar Pradesh,61,Azamgarh
320,Bad,T.P.,33,Tamil Nadu,30,Kanniyakumari
321,Bada Malhera,C.T.,32,Kerala,2,Kannur
322,Badagaon,C.T.,32,Kerala,2,Kannur
323,Badagoan,C.T.,9,Uttar Pradesh,15,Agra
324,Badami,N.P.,9,Uttar Pradesh,61,Azamgarh
325,Badami Bagh,T.P.,33,Tamil Nadu,5,Dharmapuri
326,Badarpur,T.P.,33,Tamil Nadu,25,Theni
327,Badarpur Rly Town,N.P.,23,Madhya Pradesh,37,Hoshangabad
328,Badarwas,C.T.,7,Delhi *,3,North East
329,Badawada,N.P.,9,Uttar Pradesh,32,Auraiya
330,Baddi,N.P.,9,Uttar Pradesh,40,Banda
331,Bade Bacheli,C.T.,27,Maharashtra,16,Hingoli
332,Badepalle,C.B.,9,Uttar Pradesh,36,Jhansi
333,Badgam,C.T.,6,Haryana,2,Ambala
334,Badhagachhi,C.T.,19,West Bengal,10,Nadia 
335,Badharghat,N.P.,9,Uttar Pradesh,19,Budaun
336,Badhni Kalan,C.T.,20,Jharkhand,12,Dhanbad
337,Badi,N.P.,9,Uttar Pradesh,9,Ghaziabad
338,Badkuhi,M.B.,9,Uttar Pradesh,6,Jyotiba Phule Nagar
339,Badlapur,N.P.,9,Uttar Pradesh,28,Rae Bareli
340,Badnagar,C.T.,9,Uttar Pradesh,14,Mathura
341,Badnawar,N.P.,23,Madhya Pradesh,9,Chhatarpur
342,Badod,N.P.,23,Madhya Pradesh,8,Tikamgarh
343,Badoda,N.P.,23,Madhya Pradesh,22,Shajapur
344,Badra,T.P.,29,Karnataka,2,Bagalkot
345,Badrinathpuri,C.B.,1,Jammu & Kashmir,3,Srinagar
346,Baduria,T.C.,18,Assam,22,Karimganj
347,Bagaha,C.T.,18,Assam,22,Karimganj
348,Bagalkot,N.P.,23,Madhya Pradesh,6,Shivpuri
349,Bagasara,N.P.,23,Madhya Pradesh,20,Ratlam
350,Bagbahara,N.P.,2,Himachal Pradesh,9,Solan
351,Bagbera,N.P.,22,Chhattisgarh,16,Dantewada
352,Bagepalli,C.T.,28,Andhra Pradesh,7,Mahbubnagar
353,Bageshwar,N.A.C.,1,Jammu & Kashmir,4,Badgam
354,Baggar,C.T.,19,West Bengal,12,Hugli 
355,Bagh,C.T.,16,Tripura,1,West Tripura 
356,Bagha Purana,N.P.,3,Punjab,10,Moga
357,Baghmara,N.P.,23,Madhya Pradesh,34,Raisen
358,Baghpat,C.T.,23,Madhya Pradesh,43,Chhindwara
359,Bagli,M.Cl.,27,Maharashtra,21,Thane
360,Bagnan,M,23,Madhya Pradesh,21,Ujjain
361,Bagru,N.P.,23,Madhya Pradesh,25,Dhar
362,Bah,N.P.,23,Madhya Pradesh,22,Shajapur
363,Bahadurganj,M,23,Madhya Pradesh,1,Sheopur
364,Bahadurgarh,C.T.,23,Madhya Pradesh,16,Shahdol
365,Baharampur,N.P.,5,Uttaranchal,2,Chamoli
366,Bahbari Gaon,M,19,West Bengal,11,North Twentyfour Parganas
367,Baheri,M,10,Bihar,1,Pashchim Champaran
368,Bahirgram,C.M.C,29,Karnataka,2,Bagalkot
369,Bahjoi,M,24,Gujarat,13,Amreli
370,Bahraich,N.P.,22,Chhattisgarh,12,Mahasamund
371,Bahsuma,C.T.,20,Jharkhand,18,Purbi Singhbhum
372,Bahula,T.P.,29,Karnataka,19,Kolar
373,Bahuwa,M.B.,5,Uttaranchal,8,Bageshwar
374,Baidyabati,M,8,Rajasthan,5,Jhunjhunun
375,Baihar,C.T.,23,Madhya Pradesh,25,Dhar
376,Baikunthpur,N.P.,3,Punjab,10,Moga
377,Bail Hongal,M.B.,17,Meghalaya,3,South Garo Hills
378,Bairabi,M.B.,9,Uttar Pradesh,8,Baghpat
379,Bairatisal,N.P.,23,Madhya Pradesh,23,Dewas
380,Bairgania,C.T.,19,West Bengal,16,Haora 
381,Bajala,M,8,Rajasthan,12,Jaipur
382,Bajna,M.B.,9,Uttar Pradesh,15,Agra
383,Bajpe,N.A.,10,Bihar,8,Kishanganj
384,Bajpur,N.P.,9,Uttar Pradesh,65,Ghazipur
385,Bajva,M.Cl.,6,Haryana,15,Jhajjar
386,Bakani,M,19,West Bengal,7,Murshidabad 
387,Bakewar,C.T.,18,Assam,14,Tinsukia
388,Bakhtiarpur,M.B.,9,Uttar Pradesh,20,Bareilly
389,Bakiabad,C.T.,19,West Bengal,15,Medinipur 
390,Bakloh,M.B.,9,Uttar Pradesh,4,Moradabad
391,Balachaur,M.B.,9,Uttar Pradesh,50,Bahraich
392,Balaghat,N.P.,9,Uttar Pradesh,7,Meerut
393,Balagoda (Bolani),C.T.,19,West Bengal,9,Barddhaman 
394,Balakrishnampatti,N.P.,9,Uttar Pradesh,42,Fatehpur
395,Balakrishnapuram,M,19,West Bengal,12,Hugli 
396,Balangir,N.P.,23,Madhya Pradesh,45,Balaghat
397,Balapallam,N.A.C.,22,Chhattisgarh,1,Koriya
398,Balapur,N.P.,23,Madhya Pradesh,14,Rewa
399,Balaram Pota,T.M.C,29,Karnataka,1,Belgaum
400,Balarampur,C.T.,15,Mizoram,2,Kolasib
401,Balasamudram,C.T.,19,West Bengal,1,Darjiling 
402,Balasinor,N.A.,10,Bihar,4,Sitamarhi
403,Baldeo,C.T.,29,Karnataka,24,Dakshina Kannada
404,Baldeogarh,N.P.,9,Uttar Pradesh,14,Mathura
405,Baleshwar,C.T.,29,Karnataka,24,Dakshina Kannada
406,Bali,M.B.,5,Uttaranchal,12,Udham Singh Nagar
407,Baliari,C.T.,24,Gujarat,19,Vadodara
408,Balichak,C.T.,8,Rajasthan,32,Jhalawar
409,Balimela,N.P.,9,Uttar Pradesh,31,Etawah
410,Balkundra,N.A.,10,Bihar,28,Patna
411,Ballarpur,C.T.,9,Uttar Pradesh,69,Mirzapur
412,Ballavpur,C.B.,2,Himachal Pradesh,1,Chamba
413,Ballia,N.P.,3,Punjab,6,Nawanshahr
414,Bally,M,23,Madhya Pradesh,45,Balaghat
415,Balod,C.T.,21,Orissa,6,Kendujhar
416,Baloda,T.P.,33,Tamil Nadu,15,Tiruchirappalli
417,Baloda Bazar,T.P.,33,Tamil Nadu,13,Dindigul
418,Balotra,M,21,Orissa,24,Balangir
419,Balrampur,T.P.,33,Tamil Nadu,30,Kanniyakumari
420,Balugaon,M.Cl.,27,Maharashtra,5,Akola
421,Balurghat,C.T.,19,West Bengal,16,Haora 
422,Bambolim,C.T.,19,West Bengal,14,Puruliya
423,Bamhani,C.T.,19,West Bengal,18,South Twentyfour Parganas
424,Bamor,T.P.,33,Tamil Nadu,13,Dindigul
425,Bamora,M,24,Gujarat,16,Kheda
426,Bamun Sualkuchi,N.P.,9,Uttar Pradesh,14,Mathura
427,Bamunari,N.P.,23,Madhya Pradesh,8,Tikamgarh
428,Banapur,M,21,Orissa,8,Baleshwar
429,Banarhat Tea Garden,M,8,Rajasthan,20,Pali
430,Banarsi,C.T.,20,Jharkhand,12,Dhanbad
431,Banat,C.T.,19,West Bengal,15,Medinipur 
432,Banaur,N.A.C.,21,Orissa,30,Malkangiri
433,Banbasa,C.T.,20,Jharkhand,4,Hazaribag
434,Banda,M.Cl.,27,Maharashtra,13,Chandrapur
435,Bandarulanka,C.T.,19,West Bengal,9,Barddhaman 
436,Bandhgora,M.B.,9,Uttar Pradesh,63,Ballia
437,Bandia,M,19,West Bengal,16,Haora 
438,Bandikui,C.T.,19,West Bengal,16,Haora 
439,Bandipore,N.P.,22,Chhattisgarh,10,Durg
440,Bandora,N.P.,22,Chhattisgarh,6,Janjgir-Champa
